VIDEO,DURATION
HVC008485,239
HVC008489,277
HVC008514,230
HVC008515,400
HVC008536,171
HVC008662,59
HVC008828,293
HVC008904,129
HVC008912,64
HVC008921,53
HVC008926,60
HVC008965,66
HVC008971,134
HVC008973,285
HVC009022,101
HVC009023,92
HVC009037,91
HVC009052,196
HVC009069,78
HVC009071,120
HVC009081,489
HVC009117,354
HVC009128,74
HVC009167,115
HVC009185,54
HVC009202,27
HVC009292,352
HVC009317,108
HVC009488,458
HVC009531,191
HVC009615,70
HVC009664,53
HVC009677,85
HVC009678,321
HVC009680,34
HVC009685,36
HVC009729,34
HVC009732,91
HVC009746,86
HVC009791,134
HVC009797,100
HVC009867,125
HVC009896,105
HVC009915,97
HVC009929,66
HVC009935,51
HVC009951,120
HVC010037,302
HVC010056,130
HVC010061,46
HVC010077,165
HVC010097,78
HVC010176,153
HVC010227,53
HVC010229,58
HVC010238,201
HVC010246,106
HVC010338,53
HVC010376,334
HVC010422,65
HVC010423,267
HVC010428,120
HVC010455,33
HVC010470,90
HVC010491,127
HVC010493,47
HVC010515,99
HVC010522,25
HVC010619,92
HVC010623,69
HVC010655,87
HVC010744,91
HVC010864,240
HVC010869,180
HVC010878,428
HVC010883,39
HVC010884,129
HVC010893,57
HVC010894,140
HVC010899,61
HVC010968,22
HVC011023,26
HVC011047,406
HVC011082,157
HVC011100,63
HVC011122,197
HVC011153,115
HVC011154,77
HVC011165,90
HVC011178,85
HVC011250,213
HVC011321,260
HVC011380,173
HVC011401,61
HVC011425,114
HVC011440,37
HVC011442,64
HVC011483,109
HVC011495,128
HVC011512,108
HVC011527,132
HVC011563,27
HVC011601,45
HVC011615,47
HVC011758,27
HVC011769,21
HVC011836,111
HVC011842,37
HVC011847,19
HVC011856,162
HVC011859,37
HVC011903,64
HVC011925,298
HVC011939,200
HVC011982,41
HVC011999,74
HVC012048,35
HVC012052,124
HVC012124,95
HVC012143,158
HVC012144,168
HVC012206,112
HVC012214,122
HVC012219,142
HVC012241,126
HVC012255,334
HVC012265,519
HVC012274,199
HVC012291,62
HVC012355,38
HVC012358,121
HVC012361,280
HVC012373,337
HVC012379,66
HVC012406,45
HVC012461,48
HVC012467,176
HVC012471,67
HVC012501,187
HVC012527,34
HVC012590,119
HVC012601,407
HVC012647,96
HVC012687,288
HVC012725,67
HVC012770,145
HVC012771,430
HVC012829,137
HVC012867,35
HVC012886,30
HVC012887,94
HVC012905,52
HVC012921,132
HVC012923,60
HVC012932,48
HVC012938,27
HVC012985,57
HVC013017,86
HVC013044,39
HVC013061,409
HVC013156,76
HVC013177,430
HVC013244,260
HVC013258,251
HVC013269,132
HVC013296,80
HVC013302,55
HVC013358,103
HVC013427,145
HVC013432,97
HVC013434,77
HVC013488,187
HVC013506,25
HVC014017,341
HVC014372,238
HVC014640,78
HVC014689,73
HVC014893,372
HVC015181,55
HVC015599,126
HVC015890,146
HVC015897,49
HVC015906,44
HVC015976,49
HVC015983,131
HVC015988,163
HVC016055,55
HVC016056,124
HVC016087,36
HVC016091,71
HVC016097,40
HVC016168,97
HVC016215,207
HVC016251,65
HVC016485,50
HVC016514,200
HVC016529,61
HVC016555,41
HVC016571,75
HVC016597,145
HVC016600,80
HVC016612,52
HVC016614,125
HVC016626,170
HVC016635,230
HVC016648,45
HVC016672,259
HVC016706,22
HVC016714,335
HVC016754,88
HVC016757,154
HVC016780,169
HVC016787,417
HVC016792,201
HVC016845,37
HVC016850,62
HVC016860,412
HVC016878,123
HVC016910,85
HVC016917,32
HVC016964,85
HVC017077,134
HVC017082,77
HVC017105,529
HVC017111,132
HVC017125,224
HVC017151,147
HVC017152,85
HVC017172,229
HVC017185,85
HVC017188,303
HVC017273,148
HVC017298,65
HVC017313,82
HVC017322,70
HVC017334,196
HVC017338,56
HVC017377,113
HVC017388,121
HVC017429,137
HVC017430,90
HVC017436,272
HVC017450,173
HVC017451,47
HVC017454,31
HVC017455,58
HVC017462,44
HVC017469,155
HVC017474,61
HVC017488,123
HVC017491,75
HVC017492,102
HVC017494,337
HVC017495,152
HVC017497,74
HVC017533,161
HVC017538,101
HVC017589,63
HVC017596,111
HVC017609,470
HVC017615,122
HVC017622,46
HVC017641,63
HVC017645,508
HVC017647,142
HVC017652,141
HVC017653,207
HVC017659,391
HVC017669,390
HVC017672,105
HVC017682,273
HVC017685,136
HVC017694,271
HVC017716,76
HVC017727,43
HVC017730,95
HVC017737,259
HVC017762,206
HVC017779,141
HVC017782,74
HVC017783,36
HVC017826,85
HVC017855,148
HVC017866,213
HVC017887,124
HVC017894,64
HVC017899,292
HVC017901,29
HVC017911,89
HVC017917,51
HVC017982,41
HVC017990,131
HVC018021,21
HVC018022,104
HVC018034,26
HVC018044,192
HVC018054,175
HVC018070,31
HVC018106,100
HVC018126,248
HVC018139,216
HVC018141,208
HVC018147,75
HVC018154,56
HVC018158,203
HVC018161,238
HVC018174,52
HVC018189,165
HVC018193,196
HVC018196,48
HVC018234,231
HVC018256,59
HVC018267,174
HVC018270,90
HVC018292,110
HVC018340,55
HVC018365,182
HVC018366,531
HVC018377,216
HVC018382,153
HVC018388,110
HVC018546,90
HVC018552,56
HVC018610,109
HVC018632,110
HVC018640,27
HVC018665,90
HVC018702,129
HVC018707,57
HVC018708,247
HVC018743,81
HVC018864,149
HVC018899,58
HVC018934,30
HVC018980,35
HVC018999,524
HVC019027,188
HVC019064,39
HVC019100,119
HVC019107,57
HVC019111,63
HVC019139,133
HVC019157,440
HVC019243,25
HVC019273,94
HVC019276,74
HVC019309,40
HVC019323,176
HVC019349,57
HVC019386,207
HVC019388,61
HVC019482,129
HVC019491,475
HVC019509,156
HVC019522,227
HVC019549,136
HVC019580,111
HVC019596,100
HVC019605,221
HVC019609,32
HVC019664,64
HVC019672,282
HVC019737,38
HVC019791,278
HVC019890,73
HVC019896,223
HVC019953,84
HVC019974,66
HVC019978,126
HVC020061,84
HVC020070,26
HVC020075,31
HVC020081,510
HVC020083,216
HVC020086,123
HVC020093,154
HVC020095,189
HVC020104,60
HVC020250,174
HVC020255,25
HVC020325,303
HVC020328,43
HVC020338,23
HVC020345,91
HVC020354,70
HVC020419,65
HVC020430,186
HVC020472,69
HVC020483,92
HVC020488,27
HVC020496,95
HVC020508,33
HVC020544,64
HVC020646,31
HVC020687,113
HVC020702,91
HVC020713,59
HVC020744,70
HVC020794,142
HVC020859,247
HVC020868,137
HVC020961,179
HVC020997,280
HVC021025,126
HVC021033,48
HVC021035,78
HVC021040,453
HVC021042,99
HVC021081,209
HVC021091,162
HVC021119,102
HVC021159,90
HVC021165,30
HVC021170,475
HVC021212,90
HVC021227,366
HVC021269,588
HVC021290,130
HVC021320,105
HVC021340,133
HVC021358,205
HVC021385,357
HVC021390,333
HVC021428,54
HVC021429,78
HVC021430,30
HVC021472,64
HVC021473,127
HVC021475,70
HVC021484,283
HVC021510,187
HVC021681,174
HVC021684,168
HVC021689,101
HVC021690,59
HVC021696,96
HVC021700,230
HVC021734,57
HVC021735,30
HVC021736,43
HVC021750,52
HVC021813,54
HVC021818,465
HVC021877,39
HVC021881,60
HVC021902,23
HVC021941,83
HVC021946,72
HVC021951,249
HVC021958,141
HVC021967,90
HVC021968,112
HVC022065,232
HVC022079,122
HVC022084,32
HVC022128,165
HVC022145,37
HVC022165,46
HVC022172,184
HVC022215,103
HVC022321,72
HVC022365,80
HVC022366,80
HVC022376,32
HVC022408,61
HVC022414,67
HVC022416,52
HVC022448,185
HVC022473,258
HVC022494,119
HVC022700,161
HVC022718,57
HVC022779,204
HVC022791,85
HVC022810,46
HVC022865,30
HVC022892,105
HVC022910,302
HVC022970,99
HVC022972,74
HVC023022,412
HVC023037,189
HVC023074,175
HVC023120,107
HVC023122,90
HVC023142,59
HVC023195,197
HVC023199,186
HVC023220,63
HVC023230,376
HVC023251,229
HVC023253,124
HVC023301,199
HVC023377,250
HVC023386,99
HVC023394,301
HVC023396,143
HVC023431,56
HVC023507,43
HVC023518,202
HVC023554,341
HVC023613,234
HVC023661,131
HVC023676,152
HVC023679,196
HVC023771,97
HVC023796,49
HVC023848,46
HVC023850,21
HVC023851,143
HVC023852,61
HVC023882,196
HVC023928,37
HVC023935,172
HVC023997,52
HVC024008,97
HVC024009,30
HVC024039,258
HVC024116,589
HVC024143,42
HVC024147,50
HVC024152,287
HVC024156,50
HVC024162,36
HVC024200,22
HVC024234,24
HVC024252,129
HVC024274,163
HVC024294,52
HVC024346,95
HVC024347,72
HVC024393,51
HVC024488,133
HVC024491,180
HVC024520,542
HVC024528,69
HVC024551,219
HVC024622,52
HVC024690,230
HVC024694,124
HVC024730,119
HVC024741,387
HVC024750,198
HVC024765,44
HVC024768,211
HVC024812,20
HVC024853,118
HVC024858,54
HVC024908,233
HVC024928,67
HVC024969,34
HVC025015,208
HVC025025,91
HVC025072,68
HVC025074,228
HVC025091,54
HVC025119,79
HVC025158,131
HVC025160,617
HVC025172,243
HVC025177,53
HVC025217,107
HVC025223,137
HVC025255,151
HVC025259,42
HVC025368,354
HVC025372,43
HVC025374,78
HVC025385,62
HVC025433,59
HVC025434,400
HVC025442,74
HVC025449,141
HVC025450,78
HVC025480,80
HVC025493,272
HVC025543,163
HVC025544,170
HVC025547,43
HVC025553,80
HVC025619,72
HVC025620,116
HVC025664,65
HVC025670,127
HVC025682,180
HVC025683,158
HVC025687,60
HVC025693,31
HVC025707,129
HVC025715,27
HVC025726,124
HVC025728,52
HVC025738,100
HVC025745,58
HVC025769,38
HVC025810,520
HVC025899,78
HVC025957,405
HVC026019,59
HVC026056,208
HVC026058,100
HVC026080,81
HVC026110,81
HVC026113,512
HVC026193,233
HVC026202,168
HVC026323,37
HVC026365,35
HVC026382,261
HVC026398,20
HVC026462,28
HVC026539,10
HVC026556,547
HVC026597,37
HVC026605,42
HVC026607,59
HVC026612,45
HVC026639,92
HVC026655,129
HVC026678,186
HVC026718,119
HVC026741,54
HVC026748,171
HVC026766,213
HVC026770,211
HVC026800,242
HVC026803,43
HVC026828,35
HVC026870,54
HVC026918,214
HVC026972,112
HVC027101,96
HVC027114,35
HVC027148,137
HVC027168,110
HVC027430,81
HVC027466,51
HVC027470,53
HVC027601,363
HVC027613,99
HVC027638,25
HVC027656,146
HVC027672,51
HVC027701,271
HVC027795,20
HVC027822,50
HVC027852,338
HVC027854,142
HVC027977,181
HVC028028,239
HVC028086,91
HVC028112,36
HVC028134,204
HVC028166,39
HVC028185,114
HVC028223,63
HVC028226,228
HVC028245,304
HVC028250,9
HVC028288,380
HVC028294,135
HVC028431,355
HVC028475,207
HVC028538,115
HVC028576,69
HVC028593,136
HVC028663,59
HVC028672,68
HVC028680,108
HVC028862,91
HVC028886,140
HVC028897,62
HVC028907,62
HVC028964,125
HVC029031,77
HVC029121,109
HVC029165,47
HVC029168,309
HVC029179,19
HVC029206,116
HVC029209,151
HVC029212,232
HVC029236,222
HVC029371,172
HVC029543,46
HVC029545,30
HVC029605,125
HVC029620,206
HVC029666,350
HVC029673,96
HVC029716,121
HVC029723,52
HVC029777,88
HVC029816,58
HVC029836,11
HVC029887,145
HVC029890,38
HVC029929,41
HVC029943,451
HVC029944,72
HVC029950,202
HVC029954,51
HVC029971,71
HVC029973,106
HVC030026,18
HVC030028,194
HVC030032,33
HVC030122,51
HVC030210,90
HVC030263,41
HVC030265,282
HVC030270,44
HVC030280,227
HVC030281,91
HVC030291,89
HVC030323,77
HVC030327,185
HVC030337,83
HVC030338,112
HVC030346,211
HVC030368,241
HVC030398,29
HVC030407,153
HVC030411,38
HVC030422,126
HVC030436,44
HVC030442,162
HVC030456,105
HVC030551,229
HVC030588,162
HVC030631,119
HVC030650,116
HVC030668,462
HVC030677,54
HVC030678,429
HVC030690,84
HVC030703,83
HVC030718,23
HVC030726,168
HVC030752,93
HVC030781,49
HVC030783,59
HVC030795,135
HVC030798,343
HVC030800,64
HVC030822,243
HVC030825,48
HVC030832,78
HVC030834,43
HVC030838,66
HVC030850,85
HVC030889,24
HVC030898,56
HVC030904,40
HVC030969,229
HVC030983,80
HVC030986,366
HVC030991,31
HVC030995,214
HVC031009,57
HVC031017,294
HVC031030,99
HVC031044,142
HVC031053,99
HVC031055,51
HVC031069,106
HVC031080,73
HVC031094,179
HVC031098,343
HVC031106,133
HVC031186,240
HVC031201,137
HVC031292,33
HVC031307,88
HVC031330,102
HVC031339,310
HVC031358,76
HVC031365,60
HVC031446,79
HVC031451,284
HVC031470,76
HVC031472,80
HVC031476,59
HVC031478,218
HVC031483,597
HVC031489,51
HVC031503,215
HVC031506,73
HVC031529,132
HVC031573,117
HVC031672,107
HVC031677,361
HVC031680,213
HVC031720,220
HVC031758,120
HVC031763,68
HVC031767,25
HVC031768,119
HVC031789,109
HVC031791,256
HVC031803,134
HVC031824,211
HVC031825,160
HVC031834,19
HVC031866,101
HVC031956,195
HVC031971,273
HVC032024,220
HVC032125,41
HVC032133,26
HVC032150,217
HVC032151,73
HVC032159,159
HVC032166,263
HVC032182,143
HVC032184,36
HVC032210,29
HVC032242,30
HVC032276,99
HVC032322,328
HVC032384,213
HVC032423,97
HVC032437,31
HVC032445,178
HVC032450,19
HVC032602,79
HVC032619,134
HVC032642,122
HVC032653,86
HVC032683,597
HVC032752,118
HVC032765,97
HVC032809,34
HVC032819,104
HVC032893,177
HVC032923,96
HVC032927,51
HVC032951,179
HVC032967,295
HVC032987,45
HVC033050,203
HVC033054,160
HVC033059,94
HVC033138,129
HVC033139,34
HVC033144,282
HVC033158,311
HVC033188,71
HVC033208,71
HVC033229,599
HVC033246,48
HVC033248,34
HVC033251,165
HVC033278,42
HVC033310,46
HVC033336,59
HVC033347,83
HVC033363,63
HVC033381,475
HVC033448,112
HVC033469,38
HVC033475,60
HVC033490,194
HVC033495,47
HVC033501,344
HVC033525,409
HVC033595,52
HVC033601,236
HVC033742,39
HVC033780,76
HVC033832,84
HVC033835,41
HVC033898,165
HVC033923,35
HVC033947,92
HVC033977,177
HVC034060,126
HVC034176,123
HVC034190,23
HVC034193,47
HVC034196,188
HVC034210,73
HVC034215,90
HVC034224,224
HVC034290,84
HVC034440,531
HVC034454,145
HVC034466,42
HVC034472,81
HVC034474,12
HVC034475,548
HVC034480,75
HVC034495,271
HVC034496,150
HVC034514,366
HVC034603,106
HVC034629,77
HVC034675,68
HVC034679,22
HVC034702,186
HVC034725,32
HVC034737,153
HVC034739,109
HVC034777,80
HVC034786,95
HVC034812,53
HVC034840,399
HVC034856,148
HVC034863,135
HVC034875,47
HVC034904,210
HVC034918,62
HVC034932,283
HVC034980,52
HVC034990,89
HVC034992,108
HVC035112,84
HVC035136,156
HVC035153,90
HVC035158,227
HVC035165,164
HVC035169,183
HVC035212,69
HVC035217,576
HVC035243,225
HVC035371,33
HVC035372,67
HVC035388,286
HVC035455,110
HVC035484,568
HVC035494,333
HVC035522,206
HVC035526,27
HVC035536,32
HVC035604,329
HVC035606,321
HVC035619,116
HVC035636,62
HVC035639,219
HVC035645,49
HVC035655,94
HVC035656,85
HVC035668,25
HVC035669,54
HVC035671,143
HVC035685,144
HVC035709,189
HVC035744,71
HVC035749,65
HVC035774,28
HVC035779,79
HVC035790,29
HVC035800,385
HVC035809,78
HVC035854,72
HVC035875,61
HVC035895,36
HVC035901,79
HVC035904,85
HVC035995,173
HVC036021,42
HVC036043,120
HVC036048,42
HVC036054,63
HVC036080,59
HVC036100,61
HVC036109,290
HVC036123,51
HVC036140,150
HVC036143,97
HVC036169,203
HVC036173,88
HVC036182,128
HVC036202,52
HVC036207,68
HVC036253,39
HVC036267,50
HVC036277,119
HVC036341,262
HVC036392,184
HVC036418,195
HVC036428,84
HVC036462,138
HVC036507,119
HVC036514,62
HVC036515,74
HVC036559,36
HVC036577,86
HVC036604,309
HVC036643,34
HVC036663,33
HVC036664,143
HVC036706,79
HVC036709,309
HVC036748,77
HVC036824,99
HVC036832,67
HVC036858,228
HVC036880,19
HVC036910,552
HVC036919,41
HVC036925,81
HVC036927,29
HVC037009,30
HVC037077,178
HVC037140,53
HVC037149,54
HVC037152,134
HVC037160,180
HVC037163,82
HVC037194,66
HVC037202,93
HVC037218,30
HVC037244,267
HVC037248,105
HVC037270,26
HVC037287,24
HVC037301,117
HVC037336,227
HVC037341,60
HVC037396,142
HVC037405,481
HVC037408,57
HVC037437,100
HVC037449,58
HVC037458,329
HVC037490,223
HVC037495,120
HVC037563,98
HVC037564,61
HVC037572,60
HVC037586,64
HVC037618,42
HVC037621,93
HVC037680,78
HVC037699,74
HVC037701,84
HVC037776,186
HVC037790,65
HVC037794,63
HVC037810,26
HVC037837,155
HVC037845,172
HVC037848,220
HVC037881,90
HVC037895,29
HVC037904,11
HVC037922,194
HVC037953,202
HVC037977,49
HVC038017,219
HVC038025,73
HVC038053,110
HVC038070,39
HVC038104,34
HVC038137,276
HVC038161,127
HVC038178,23
HVC038191,138
HVC038198,55
HVC038205,190
HVC038224,300
HVC038262,68
HVC038305,66
HVC038326,107
HVC038394,54
HVC038416,241
HVC038454,166
HVC038466,101
HVC038470,38
HVC038479,130
HVC038538,24
HVC038587,30
HVC038601,117
HVC038614,123
HVC038638,183
HVC038664,204
HVC038681,44
HVC038714,225
HVC038741,259
HVC038769,237
HVC038770,147
HVC038819,219
HVC038832,430
HVC038860,196
HVC038867,52
HVC038876,127
HVC038885,51
HVC038886,67
HVC038892,61
HVC038913,211
HVC038916,187
HVC038937,39
HVC038947,164
HVC038995,268
HVC039022,66
HVC039026,104
HVC039037,68
HVC039047,215
HVC039059,256
HVC039077,189
HVC039138,48
HVC039164,22
HVC039174,119
HVC039196,437
HVC039201,113
HVC039211,262
HVC039233,55
HVC039248,73
HVC039251,79
HVC039285,36
HVC039299,78
HVC039309,351
HVC039334,128
HVC039340,168
HVC039348,130
HVC039361,79
HVC039374,217
HVC039376,506
HVC039387,238
HVC039389,205
HVC039404,40
HVC039412,154
HVC039417,53
HVC039423,61
HVC039424,423
HVC039454,53
HVC039457,484
HVC039460,84
HVC039490,105
HVC039504,79
HVC039507,148
HVC039544,175
HVC039545,85
HVC039556,145
HVC039565,32
HVC039569,95
HVC039571,61
HVC039575,52
HVC039577,88
HVC039622,63
HVC039636,47
HVC039670,46
HVC039675,78
HVC039682,86
HVC039684,62
HVC039742,84
HVC039766,358
HVC039803,171
HVC039807,113
HVC039808,525
HVC039809,287
HVC039822,202
HVC039837,220
HVC039857,110
HVC039861,110
HVC039867,105
HVC039869,77
HVC039878,79
HVC039882,167
HVC039917,59
HVC039951,45
HVC039969,144
HVC039972,142
HVC039973,132
HVC039992,133
HVC040015,113
HVC040016,241
HVC040020,107
HVC040022,186
HVC040026,58
HVC040036,259
HVC040069,212
HVC040073,73
HVC040084,35
HVC040092,29
HVC040107,501
HVC040116,96
HVC040124,52
HVC040127,24
HVC040131,162
HVC040133,604
HVC040142,141
HVC040189,133
HVC040249,261
HVC040259,29
HVC040302,37
HVC040375,85
HVC040400,233
HVC040404,232
HVC040417,62
HVC040473,69
HVC040475,25
HVC040479,198
HVC040504,204
HVC040514,237
HVC040519,157
HVC040550,53
HVC040559,10
HVC040560,324
HVC040568,297
HVC040570,222
HVC040599,130
HVC040617,215
HVC040632,119
HVC040633,106
HVC040643,34
HVC040658,21
HVC040660,217
HVC040683,128
HVC040711,299
HVC040722,228
HVC040751,72
HVC040754,79
HVC040756,64
HVC040763,57
HVC040767,131
HVC040772,59
HVC040778,174
HVC040782,522
HVC040803,67
HVC040805,173
HVC040811,120
HVC040838,238
HVC040855,44
HVC040898,38
HVC040947,65
HVC041007,178
HVC041009,201
HVC041010,48
HVC041036,75
HVC041041,157
HVC041056,322
HVC041064,114
HVC041160,412
HVC041168,323
HVC041170,106
HVC041204,32
HVC041246,62
HVC041252,21
HVC041263,94
HVC041319,192
HVC041327,156
HVC041354,68
HVC041360,123
HVC041369,241
HVC041376,27
HVC041380,81
HVC041381,317
HVC041408,27
HVC041419,113
HVC041456,132
HVC041485,123
HVC041611,93
HVC041624,114
HVC041634,244
HVC041637,90
HVC041655,225
HVC041688,147
HVC041700,57
HVC041727,156
HVC041740,85
HVC041755,585
HVC041775,115
HVC041779,60
HVC041784,27
HVC041820,191
HVC041821,137
HVC041876,67
HVC041894,80
HVC041897,91
HVC041910,34
HVC041927,100
HVC041940,151
HVC041943,221
HVC041944,222
HVC041971,34
HVC041986,37
HVC042024,167
HVC042044,44
HVC042090,34
HVC042120,138
HVC042124,51
HVC042155,344
HVC042162,206
HVC042169,125
HVC042207,255
HVC042217,62
HVC042289,58
HVC042323,152
HVC042345,167
HVC042372,62
HVC042416,85
HVC042421,25
HVC042460,697
HVC042466,106
HVC042480,195
HVC042484,101
HVC042485,176
HVC042495,274
HVC042496,58
HVC042513,182
HVC042517,206
HVC042521,87
HVC042546,128
HVC042587,70
HVC042600,339
HVC042627,97
HVC042631,55
HVC042638,123
HVC042653,121
HVC042669,487
HVC042684,112
HVC042726,39
HVC042761,171
HVC042772,286
HVC042775,118
HVC042804,119
HVC042850,31
HVC042899,179
HVC042918,90
HVC042944,56
HVC042962,51
HVC042966,40
HVC042983,71
HVC042992,83
HVC043022,166
HVC043063,44
HVC043077,141
HVC043087,94
HVC043089,83
HVC043092,142
HVC043130,416
HVC043165,222
HVC043170,97
HVC043177,109
HVC043191,37
HVC043196,227
HVC043197,65
HVC043241,445
HVC043256,319
HVC043265,409
HVC043276,135
HVC043287,155
HVC043300,87
HVC043315,91
HVC043342,105
HVC043385,139
HVC043498,226
HVC043512,111
HVC043538,194
HVC043541,602
HVC043603,106
HVC043641,220
HVC043643,224
HVC043644,31
HVC043659,79
HVC043687,50
HVC043735,82
HVC043754,121
HVC043767,44
HVC043777,194
HVC043788,381
HVC043841,56
HVC043869,51
HVC043872,296
HVC043892,77
HVC043899,43
HVC043901,71
HVC043905,36
HVC043985,31
HVC044028,82
HVC044057,56
HVC044067,61
HVC044070,369
HVC044073,59
HVC044077,91
HVC044080,89
HVC044091,56
HVC044099,119
HVC044110,109
HVC044125,125
HVC044132,185
HVC044134,30
HVC044138,32
HVC044143,35
HVC044193,187
HVC044215,121
HVC044224,140
HVC044249,187
HVC044261,134
HVC044274,156
HVC044285,74
HVC044328,66
HVC044332,385
HVC044364,422
HVC044390,66
HVC044417,69
HVC044438,54
HVC044440,214
HVC044447,132
HVC044454,121
HVC044459,272
HVC044494,75
HVC044535,150
HVC044538,157
HVC044542,47
HVC044543,96
HVC044552,45
HVC044565,95
HVC044568,56
HVC044577,25
HVC044609,112
HVC044617,44
HVC044624,97
HVC044640,127
HVC044641,89
HVC044669,142
HVC044676,261
HVC044688,93
HVC044695,44
HVC044713,78
HVC044774,55
HVC044777,63
HVC044786,73
HVC044795,104
HVC044801,323
HVC044836,67
HVC044846,258
HVC044852,60
HVC044860,44
HVC044879,130
HVC044883,54
HVC044886,52
HVC044890,38
HVC044901,111
HVC044904,366
HVC044906,68
HVC044931,219
HVC044933,166
HVC044973,103
HVC044989,113
HVC044995,69
HVC045028,106
HVC045029,21
HVC045045,294
HVC045054,94
HVC045061,36
HVC045064,189
HVC045068,83
HVC045077,90
HVC045094,62
HVC045119,34
HVC045142,27
HVC045143,178
HVC045148,56
HVC045187,90
HVC045202,371
HVC045217,528
HVC045220,41
HVC045222,52
HVC045238,210
HVC045259,237
HVC045262,79
HVC045265,36
HVC045292,349
HVC045317,314
HVC045344,165
HVC045345,128
HVC045368,555
HVC045398,196
HVC045405,335
HVC045423,63
